SKU;Descricao SKU;PEP;Cod. ;Desc. BIOS;PLM
1305129;POSITIVO MASTER D610 SF8256NNEB150VCN-1;SEMPEP;11132270;BIOS POS-PIB150DT R3 V.0620.X DVI KL PD;PIB150DT
1305130;POSITIVO MASTER D820 SF81T0ANEQ2700AN0-1;SEMPEP;11130206;BIOS POS-AIQ270DX 2.24.L;AIQ270DX
1305131;POSITIVO MASTER D820 SF81T0ANEQ270VCN0-1;SEMPEP;11130207;BIOS POS-AIQ270DX 0224.X;AIQ270DX
1305132;POSITIVO MASTER D2100 TP4500NNAH1100CN0;SEMPEP;11130175;BIOS POS-EIH110EA 1108.L;EIH110EA
1305133;POSITIVO MASTER D2100 TP4500NNAH110UCN0;SEMPEP;11130174;BIOS POS-EIH110EA 1107.X;EIH110EA
1305134;POSITIVO MASTER D3100 SP4500ANEH1100AN0;SEMPEP;11130175;BIOS POS-EIH110EA 1108.L;EIH110EA
1305136;POSITIVO MASTER D610 SF41T0ANEB150VCN-3;SEMPEP;11132270;BIOS POS-PIB150DT R3 V.0620.X DVI KL PD;PIB150DT
1305138;POSITIVO MASTER C820 MINIPRO F8500NVCN;SEMPEP;11128896;BIOS POS-RIQ270DY 0112X;RIQ270DY
1305139;POSITIVO MASTER D210 - H3-01818 HEITEC;H3-01818;11128132;BIOS POS-PIH110DV V0207.X KL;PIH110DV
1305146;POSITIVO MASTER D610 ST4500ANEB150VCN-3;SEMPEP;11128161;BIOS POS-PIB150DT R3 V.0620.L DVI KL;PIB150DT
1305147;POSITIVO MASTER D610 SF41T0ANEB1500AN0-1;SEMPEP;11128161;BIOS POS-PIB150DT R3 V.0620.L DVI KL;PIB150DT
1305148;POSITIVO MASTER D610 ST4500ANEB150ACN-2;SEMPEP;11128161;BIOS POS-PIB150DT R3 V.0620.L DVI KL;PIB150DT
1305149;POSITIVO MASTER D610 SF8256NNEB1500AN0-1;SEMPEP;11128161;BIOS POS-PIB150DT R3 V.0620.L DVI KL;PIB150DT
1305150;POSITIVO MASTER D610 SF81T0ANEB1500AN0-1;SEMPEP;11128161;BIOS POS-PIB150DT R3 V.0620.L DVI KL;PIB150DT
1305151;POSITIVO MASTER D610 SS81T0ANEB150VCN-3;SEMPEP;11132270;BIOS POS-PIB150DT R3 V.0620.X DVI KL PD;PIB150DT
1305152;POSITIVO MASTER D610 SS8256NNEB150VCN-1;SEMPEP;11132270;BIOS POS-PIB150DT R3 V.0620.X DVI KL PD;PIB150DT
1305153;POSITIVO MASTER D820 SF8256ANEQ270VCN0-1;SEMPEP;11130207;BIOS POS-AIQ270DX 0224.X;AIQ270DX
1305155;POSITIVO MASTER D3100 SP4500ANEH110UCN0;SEMPEP;11130174;BIOS POS-EIH110EA 1107.X;EIH110EA
1305161;POSITIVO MASTER D610 H3-02427 PETROBRÃS;H3-02427;11130979;BIOS POS-PIB150DT R3 V0620.X.C DVI KL 64;PIB150DT
1305166;POSITIVO MASTER C820 MINIPRO F8256NVCN;SEMPEP;11128896;BIOS POS-RIQ270DY 0112X;RIQ270DY
1305168;POSITIVO MASTER D610 SS16256ANEB1500AN0;SEMPEP;11132270;BIOS POS-PIB150DT R3 V.0620.X DVI KL PD;PIB150DT
1305172;POSITIVO MASTER D3100 - H4-00611 INTERME;H4-00611;11130174;BIOS POS-EIH110EA 1107.X;EIH110EA
1305173;POSITIVO MASTER D3100 - H4-00611 AVANÃ‡AD;H4-00611;11130174;BIOS POS-EIH110EA 1107.X;EIH110EA
1305174;POSITIVO MASTER D610 H4-00611 AVAN PLUS;H4-00611;11132260;BIOS POS-PIB150DT R3 V0620.X.D DVI KL GV;PIB150DT
1305175;POSITIVO MASTER D2100 TT81T0ANAH110VCN0;SEMPEP;11130186;BIOS POS-EIH110EA 171202.X;EIH110EA
1305176;POSITIVO MASTER D3100 SF8256ANEH110VCN0;SEMPEP;11130186;BIOS POS-EIH110EA 171202.X;EIH110EA
1305177;POSITIVO MASTER D3100 SS81T0ANEH110VCN0;SEMPEP;11130186;BIOS POS-EIH110EA 171202.X;EIH110EA
1305206;POSITIVO MASTER D2200 TT4500NNAH310VCN0;SEMPEP;11158354;BIOS POS-EIH310EF V302.X PD;EIH310EF
1305207;POSITIVO MASTER D3200 SF8256NNEH310VCN0;SEMPEP;11158354;BIOS POS-EIH310EF V302.X PD;EIH310EF
1305208;POSITIVO MASTER D3200 SS81T0NNEH3100AN0;SEMPEP;11158354;BIOS POS-EIH310EF V302.X PD;EIH310EF
1305209;POSITIVO MASTER C6200 MINIPRO F8256NVCN;SEMPEP;11158943;BIOS POS-RIB360EC V0305.X PD;RIB360EC
1305210;POSITIVO MASTER C8200 MINIPRO F8256NVCN;SEMPEP;11144910;BIOS POS-RIQ370EB V0301X PD;RIQ370EB
1305211;MASTER C610 MINIPR PUC H4-00711 2MON;H4-00711;11130951;BIOS POS-PIB150DR V.0289.X KL;PIB150DR
1305219;POSITIVO MASTER D3100 SF4500NNEH110VCN0;SEMPEP;11130186;BIOS POS-EIH110EA 171202.X;EIH110EA
1305230;POSITIVO MASTER C8200 MINIPRO F4500NVCN;SEMPEP;11144910;BIOS POS-RIQ370EB V0301X PD;RIQ370EB
1305231;POSITIVO MASTER D2200 TS81T0NNAH3100AN0;SEMPEP;11158354;BIOS POS-EIH310EF V302.X PD;EIH310EF
1305232;POSITIVO MASTER D3200 SP4500NNEH3100AN0;SEMPEP;11158354;BIOS POS-EIH310EF V302.X PD;EIH310EF
